Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
685,81.9588,72.7273,0.00157736,0.00379008
690,82.1306,72.7273,0.00156603,0.00378227
695,82.8179,72.7273,0.00155488,0.00377455
700,83.1615,72.7273,0.00154391,0.00376693
705,83.8488,72.7273,0.00153311,0.00375941
710,83.677,72.7273,0.00152246,0.00375197
715,83.8488,72.7273,0.00151197,0.00374463
720,83.8488,72.7273,0.00150161,0.00373737
725,84.1924,72.7273,0.00149139,0.00373019
730,84.3643,72.7273,0.0014813,0.00372309
735,85.2234,72.7273,0.00147133,0.00371607
740,85.3952,72.7273,0.00146148,0.00370913
745,85.567,72.7273,0.00145175,0.00370226
750,85.7388,72.7273,0.00144212,0.00369547
755,85.9107,72.7273,0.00143262,0.00368874
760,85.9107,72.7273,0.00142322,0.00368207
765,86.2543,72.7273,0.00141395,0.00367547
770,86.5979,72.7273,0.00140479,0.00366894
775,86.7698,72.7273,0.00139575,0.00366246
780,86.7698,72.7273,0.00138684,0.00365605
785,87.1134,72.7273,0.00137806,0.00364969
790,87.457,72.7273,0.00136941,0.00364339
795,87.9725,72.7273,0.00136089,0.00363715
800,87.9725,72.7273,0.00135251,0.00363096
805,88.3162,72.7273,0.00134426,0.00362484
810,88.488,72.7273,0.00133615,0.00361878
815,88.3162,75.7576,0.00132817,0.00361278
820,88.8316,75.7576,0.00132032,0.00360684
825,88.8316,75.7576,0.00131259,0.00360098
830,89.1753,75.7576,0.001305,0.00359518
835,89.5189,75.7576,0.00129752,0.00358945
840,89.5189,75.7576,0.00129016,0.0035838
845,89.5189,75.7576,0.00128292,0.00357822
850,89.6907,75.7576,0.00127579,0.00357271
855,89.6907,75.7576,0.00126877,0.00356728
860,89.6907,75.7576,0.00126186,0.00356193
865,89.6907,75.7576,0.00125505,0.00355665
870,89.8625,75.7576,0.00124834,0.00355144
875,89.8625,75.7576,0.00124172,0.00354631
880,90.2062,75.7576,0.0012352,0.00354125
885,90.5498,75.7576,0.00122877,0.00353626
890,90.8935,75.7576,0.00122243,0.00353134
895,91.0653,75.7576,0.00121617,0.00352649
900,91.0653,75.7576,0.00121,0.0035217
905,91.0653,75.7576,0.00120391,0.00351698
910,91.4089,75.7576,0.0011979,0.00351233
915,91.5808,75.7576,0.00119197,0.00350773
920,91.5808,75.7576,0.00118611,0.0035032
925,91.5808,75.7576,0.00118032,0.00349873
930,91.5808,75.7576,0.0011746,0.00349431
935,91.9244,75.7576,0.00116895,0.00348995
940,91.9244,75.7576,0.00116337,0.00348564
945,92.268,75.7576,0.00115786,0.00348138
950,92.4399,75.7576,0.00115241,0.00347718
955,92.4399,75.7576,0.00114702,0.00347302
960,92.9553,75.7576,0.00114169,0.00346891
965,92.9553,75.7576,0.00113642,0.00346485
970,92.9553,75.7576,0.00113121,0.00346083
975,92.9553,75.7576,0.00112605,0.00345685
980,93.1271,75.7576,0.00112095,0.00345292
985,93.1271,75.7576,0.0011159,0.00344903
990,93.1271,75.7576,0.00111091,0.00344518
995,93.299,75.7576,0.00110596,0.00344136
